timestamp,sensor_1,sensor_2,sensor_3,is_fault,sensor_1_iqr_outlier,sensor_1_zscore_outlier,sensor_2_iqr_outlier,sensor_2_zscore_outlier,sensor_3_iqr_outlier,sensor_3_zscore_outlier
2026-01-01T12:45:00.000,7.2753127052,6.2542120593,18.2435089209,0,False,False,False,False,True,False
2026-01-01T19:45:00.000,3.9153487385,9.8730884588,22.5899557944,0,False,False,False,False,True,True
2026-01-02T03:30:00.000,16.1340144497,17.7921975971,10.9424643175,0,False,False,True,False,False,False
2026-01-02T06:45:00.000,16.8017945234,7.1608426808,11.5117922739,0,True,False,False,False,False,False
2026-01-02T19:15:00.000,2.1082484325,3.5872290118,-6.1392566204,0,False,False,False,False,True,True
2026-01-03T00:30:00.000,7.5369017869,19.4830876321,10.3017570906,1,False,False,True,True,False,False
2026-01-03T02:30:00.000,4.8422471903,30.3993754597,17.3558298408,1,False,False,True,True,True,False
2026-01-03T04:30:00.000,3.3736512121,17.9779809198,9.2243081744,1,False,False,True,False,False,False
2026-01-03T04:45:00.000,0.8310182969000001,17.7444743416,7.3108390135,1,False,False,True,False,False,False
2026-01-03T15:00:00.000,3.499992855,11.7555903894,19.0690445598,0,False,False,False,False,True,True
2026-01-04T07:00:00.000,17.2504333134,10.7737378586,4.5003231952,0,True,False,False,False,False,False
2026-01-04T07:15:00.000,21.4595547353,6.4629968363,14.4826726064,0,True,True,False,False,False,False
2026-01-04T11:45:00.000,19.3690762587,4.9400114082,10.0801486972,0,True,True,False,False,False,False
2026-01-04T16:15:00.000,4.1148937829,1.1160315982,17.9530005258,0,False,False,False,False,True,False
2026-01-05T10:45:00.000,8.8470452521,0.3248309862,18.0959024695,0,False,False,False,False,True,False
2026-01-05T16:00:00.000,18.8356108749,3.2806899194,10.8605535022,0,True,True,False,False,False,False
2026-01-05T20:30:00.000,4.3756492625,9.0431587131,-9.7003771014,0,False,False,False,False,True,True
2026-01-05T22:30:00.000,17.1636204277,3.6602791208000003,1.936806259,0,True,False,False,False,False,False
2026-01-06T15:45:00.000,9.4032661426,8.2405598947,19.1293909911,0,False,False,False,False,True,True
