timestamp,sensor_1,sensor_2,sensor_3,is_fault
2026-01-01T00:00:00.000,13.0725220826,9.9738885038,3.7716854617,0
2026-01-01T00:15:00.000,3.7811842237,5.0891718038,3.2902485969,0
2026-01-01T00:30:00.000,10.0215553152,0.8743680193000001,2.8088117321,0
2026-01-01T00:45:00.000,4.9615381451000005,0.8743680193000001,11.7897154879,0
2026-01-01T01:00:00.000,5.0778371228,6.3118811856,6.2403580592,0
2026-01-01T01:15:00.000,6.446271275,12.3088317262,6.6680559534,0
2026-01-01T01:30:00.000,7.0429868652,8.1918443773,5.5360233708,0
2026-01-01T01:45:00.000,13.0725220826,6.8400610106,4.4039907883,0
2026-01-01T02:00:00.000,5.6560068297,6.3790457282,4.084195218,0
2026-01-01T02:15:00.000,4.072420778,7.237178772,2.2561001546,0
2026-01-01T02:30:00.000,2.4888347263,7.7255784987,4.629857106,0
2026-01-01T02:45:00.000,10.5217515826,8.2139782254,7.0036140575,0
2026-01-01T03:00:00.000,6.2015097197,6.8333327919,9.3773710089,0
2026-01-01T03:15:00.000,1.8812678568,2.6019227761,9.3682568534,0
2026-01-01T03:30:00.000,5.6072542871,7.9662604914,7.2941616681,0
2026-01-01T03:45:00.000,0.9630924187000001,9.8802160608,0.9367334823000001,0
2026-01-01T04:00:00.000,1.0222214291,11.7941716302,8.0814187965,0
2026-01-01T04:15:00.000,7.0786141432,13.7081271996,2.717805459,0
2026-01-01T04:30:00.000,7.5028431231,12.2068474531,0.9367334823000001,0
2026-01-01T04:45:00.000,2.5879444616000002,8.270280503,5.7188088647,0
2026-01-01T05:00:00.000,8.5509651263,8.5547304606,10.7315736467,0
2026-01-01T05:15:00.000,9.0763142702,8.8391804181,9.2894364809,0
2026-01-01T05:30:00.000,9.601663414,5.033072422,7.847299315,0
2026-01-01T05:45:00.000,8.9334539908,3.3744235863,5.230119923,0
2026-01-01T06:00:00.000,0.9630924187000001,4.9260986612,2.612940531,0
2026-01-01T06:15:00.000,10.6222784215,9.2758697363,1.6837942239,0
2026-01-01T06:30:00.000,4.8819281843,7.0177404433,4.9959594344,0
2026-01-01T06:45:00.000,6.7364470093,4.7596111502,8.2380288156,0
2026-01-01T07:00:00.000,8.5909658342,4.2707862923,11.4800981968,0
2026-01-01T07:15:00.000,10.4454846592,3.7819614345,4.6011373952,0
2026-01-01T07:30:00.000,6.1829591533,1.8649696121,7.9647198536,0
2026-01-01T07:45:00.000,1.9204336475,1.0267424482,6.7262536902,0
2026-01-01T08:00:00.000,0.9630924187000001,3.1698642196,5.4877875268,0
2026-01-01T08:15:00.000,13.0725220826,12.5611377246,9.7806702883,0
2026-01-01T08:30:00.000,2.1673923991,6.7555489938,12.0371473109,0
2026-01-01T08:45:00.000,0.9630924187000001,4.2967408276,0.9367334823000001,0
2026-01-01T09:00:00.000,3.2327629494,10.1048568364,13.4449509249,0
2026-01-01T09:15:00.000,9.1843303978,5.268424432,7.5378531567,0
2026-01-01T09:30:00.000,3.9008676563,4.1153060727,6.234553087,0
2026-01-01T09:45:00.000,2.7697694161,2.6751546367,10.2099583668,0
2026-01-01T10:00:00.000,6.2447936211,3.2904087030999998,5.5311597331,0
2026-01-01T10:15:00.000,5.3414323478,3.9056627696,9.1538366823,0
2026-01-01T10:30:00.000,1.5747920720000002,3.3788017405,7.5536176211,0
2026-01-01T10:45:00.000,4.6535420755,1.777592206,8.5278487188,0
2026-01-01T11:00:00.000,2.8936334528,0.8743680193000001,9.5020798165,0
2026-01-01T11:15:00.000,6.5681647085,10.4402004267,8.4354587962,0
2026-01-01T11:30:00.000,10.2426959641,5.4191632875,7.368837776,0
2026-01-01T11:45:00.000,1.3859869152,3.7206760973,8.0536717507,1
2026-01-01T12:00:00.000,7.4091031722,9.727857845599999,6.868314598,1
2026-01-01T12:15:00.000,3.3421756863,8.7617320835,3.4566303162,1
2026-01-01T12:30:00.000,5.6952731292,11.391634352,2.5120064722,1
2026-01-01T12:45:00.000,7.2753127052,6.2542120593,13.487340457,0
2026-01-01T13:00:00.000,9.0778409059,1.1167897666,1.9109849685,0
2026-01-01T13:15:00.000,4.5223500394,6.425005979,6.3930560565,0
2026-01-01T13:30:00.000,1.83224925,1.9388608063000001,6.3558929469,0
2026-01-01T13:45:00.000,4.1932368218,5.6512621561,6.3187298373,0
2026-01-01T14:00:00.000,6.5542243936,8.5911100292,6.6733660831,0
2026-01-01T14:15:00.000,3.9196687958,8.9832054095,5.6735161037,0
